STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,TVSTRL,TVENRL,EPOCH
NCT01797120,TV,1,SCREENING,-14,,-14,0,SCREENING
NCT01797120,TV,2,BASELINE,1,,1,1,INDUCTION
NCT01797120,TV,3,WEEK 12,85,,85,85,INDUCTION
NCT01797120,TV,4,WEEK 24,169,,169,169,INDUCTION
NCT01797120,TV,5,WEEK 36,253,,253,253,INDUCTION
NCT01797120,TV,6,WEEK 48,337,,337,337,CONTINUATION
NCT01797120,TV,7,WEEK 60,421,,421,421,CONTINUATION
NCT01797120,TV,8,WEEK 72,505,,505,505,CONTINUATION
NCT01797120,TV,9,WEEK 84,589,,589,589,CONTINUATION
NCT01797120,TV,10,WEEK 96,673,,673,673,CONTINUATION
NCT01797120,TV,11,WEEK 108,757,,757,757,CONTINUATION
NCT01797120,TV,12,WEEK 120,841,,841,841,CONTINUATION
NCT01797120,TV,13,WEEK 132,925,,925,925,CONTINUATION
NCT01797120,TV,14,WEEK 144,1009,,1009,1009,CONTINUATION
NCT01797120,TV,15,WEEK 156,1093,,1093,1093,CONTINUATION
NCT01797120,TV,16,WEEK 168,1177,,1177,1177,CONTINUATION
NCT01797120,TV,17,WEEK 180,1261,,1261,1261,CONTINUATION
NCT01797120,TV,18,WEEK 192,1345,,1345,1345,CONTINUATION
NCT01797120,TV,19,WEEK 204,1429,,1429,1429,CONTINUATION
